"","distance_high_speed_running","total_distance","distance_walking","distance_jogging","distance_high_speed_sprinting","distance_low_speed_sprinting","linebreaks_attempted_attacking_line_completed","linebreaks_attempted_completed","linebreaks_attempted_defensive_line","final_third_entries_reception_central_channel","possession","linebreaks_completed_attacking_and_midfield_line","linebreaks_attempted_all_lines","phase_aggregate_low_press","completed_ball_progressions","linebreaks_attempted_midfield_line","receptions_in_behind","attempted_ball_progressions","offers_to_receive_in_behind","take_ons_completed","final_third_entries_reception_inside_left_channel","receptions_between_midfield_and_defensive_line","distributions_under_pressure","linebreaks_completed_under_pressure","offers_to_receive_outside","offers_to_receive_inside","offers_to_receive_in_front","offers_to_receive_total","final_third_entries_reception_left_channel","linebreaks_attempted_defensive_line_completed","phase_aggregate_recovery","phase_aggregate_build_up_opposed","phase_aggregate_build_up_unopposed","linebreaks_completed_midfield_and_defensive_line","phase_aggregate_long_ball","linebreaks_attempted_attacking_line","linebreaks_attempted","linebreaks_attempted_under_pressure","phase_aggregate_mid_block","phase_aggregate_progression","phase_aggregate_final_third","phase_aggregate_set_pieces","phase_aggregate_mid_press","phase_aggregate_high_press","phase_aggregate_high_block","linebreaks_attempted_midfield_and_defensive_line","receptions_under_pressure","distributions_completed_under_pressure","final_third_entries_reception_right_channel","offers_to_receive_in_between","completed_switches_of_play","attempted_switches_of_play","goalkeeper_defensive_actions_outside_penalty_area","phase_aggregate_defensive_transition","phase_aggregate_attacking_transition","phase_aggregate_low_block","linebreaks_attempted_attacking_and_midfield_line","phase_aggregate_counterattack","phase_aggregate_counter_press","linebreaks_completed_all_lines","receptions_under_no_pressure","goalkeeper_defensive_actions_inside_penalty_area","receptions_under_indirect_pressure","goalkeeper_goal_preventions","received_offers_to_receive","receptions_under_direct_pressure","forced_turnovers","defensive_pressures_applied","direct_defensive_pressures_applied","final_third_entries_reception_inside_right_channel","linebreaks_attempted_midfield_line_completed","attempt_at_goal_off_target","passes","attempt_at_goal_blocked","attempt_at_goal_on_target","attempt_at_goal","assists","crosses_completed","crosses","passes_completed","goals_conceded","goals","goals_from_direct_free_kicks","attempt_at_goal_outside_the_penalty_area_on_target","goals_outside_the_penalty_area","headed_attempt_at_goal","fouls_against","penalties_scored","penalties","throw_ins","direct_free_kicks","indirect_free_kicks","free_kicks","corners","goal_kicks","attempt_at_goal_outside_the_penalty_area","goals_inside_the_penalty_area","attempt_at_goal_inside_the_penalty_area_on_target","attempt_at_goal_inside_the_penalty_area","attempt_at_goal_against","goals_conceded_from_attempt_at_goal_against","own_goals","time_played","substitutions_in","substitutions_out","red_cards","attempt_at_goal_from_free_kicks","fouls_for","offsides","yellow_cards","negara","status"
"78",15195.142842,113566.09,41621.971985,48753.922437,2032.833011,5962.219725,70,165,13,8,0.541427986704934,15,10,0.0949425713227121,14,98,16,18,157,0,9,142,310,53,369,416,306,785,25,10,4.5387180437199,19.911710811261,49.0463101782442,7,0.408129268698984,74,185,62,16.4296961837718,18,22.0056638347493,3.59986673330002,8.58882919599852,7.76213412374954,2.57734346054094,10,198,248,21,322,1,3,0,12.5439977769544,6.75828752290521,20.1718228973694,15,0.566383474929202,9.73277139681363,7,618,14,179,5,319,19,62,319,53,11,85,5,795,2,4,13,1,1,11,740,0,2,0,0,0,1,19,0,0,13,9,0,9,4,7,3,2,4,10,6,0,0,96,5,5,0,0,7,4,1,"netherland","win"
"79",17563.016828,118349.17,38380.635831,50700.784428,3645.154436,8047.74356,43,126,28,4,0.544212338787255,28,14,0.792595622826754,21,96,17,28,179,1,8,135,368,74,417,403,281,820,13,17,8.8003681734506,17.483127256239,38.0469472105474,10,1.76662423048081,63,187,114,12.7889138883207,28,27.3312289635688,7.80593292757364,6.5376355082839,8.72366537124156,8.62139496829618,18,247,247,15,360,5,6,0,20.5512374718756,9.72689698470553,8.18674575577828,28,0.749899722711498,11.7431990182041,6,361,21,215,13,266,32,77,256,42,9,66,4,567,4,7,18,1,2,27,487,3,1,0,3,0,3,5,0,0,21,10,0,10,5,6,7,1,4,11,11,0,0,92,5,5,0,0,9,3,0,"usa","lose"
"80",16351.823999,114109.03,38637.317558,49991.166043,2430.522339,6698.200061,44,95,17,4,0.332720003957303,27,8,1.02893217767392,12,74,8,19,73,3,2,97,275,63,208,196,131,404,4,7,3.2315446190335,11.0605440785437,27.0773675598282,2,5.00997136428718,70,161,96,25.3204513349959,19,17.7311311106566,5.14292288811618,4.14014405050487,2.76067735128442,2.65080832214297,8,205,192,10,200,4,4,0,9.72689698470553,20.5512374718756,27.0120855932056,27,5.34107179382287,6.6130691826093,2,206,33,180,18,164,25,101,325,52,7,44,4,396,1,6,11,3,4,13,320,1,3,0,2,0,2,10,0,0,16,5,3,8,4,7,4,3,4,7,18,0,0,92,5,5,0,0,4,0,2,"netherland","win"
"81",12000.906675,107631.45,43709.131845,44376.446835,1958.89239,5586.072255,36,126,20,7,0.674174447425547,11,5,0.429967426710098,23,83,36,26,224,3,8,150,445,59,581,326,424,907,25,16,0.993485342019544,20.0019899648913,49.0739556237829,9,0.0483277187895328,38,141,73,29.9543973941368,26,31.8209600159197,7.5803448324876,6.60586319218241,6.36482084690554,9.56351791530945,10,261,359,26,259,4,5,1,14.5700325732899,6.62374028115361,6.33876221498371,11,1.95158699700084,8.60586319218241,4,644,8,248,4,401,13,48,141,27,10,74,8,862,2,13,25,2,5,22,814,0,2,0,8,1,2,11,0,1,18,5,0,5,9,2,15,1,5,10,4,0,0,96,5,5,0,0,6,0,1,"argentina","win"
"82",11400.026583,111437.21,42914.469571,51105.104506,1482.114893,4524.350726,27,44,4,1,0.241427415770181,16,4,1.13001577757878,10,31,3,15,69,1,2,46,121,12,187,141,137,328,6,0,3.43268943755064,14.6384364820847,39.4869706840391,0,7.16938110749186,44,79,26,31.3277330035677,15,8.53745928338762,8.26872964169381,2.46187085127855,0.952340340852558,1.41429647634074,4,84,70,3,122,4,4,0,6.62374028115361,14.5700325732899,43.1438602476085,16,1.19543973941368,4.24999644649127,0,226,31,65,25,115,19,67,438,59,2,17,2,321,2,0,4,0,2,5,261,2,0,0,0,0,1,6,0,0,16,12,0,12,1,10,3,0,0,1,25,0,0,96,5,5,0,0,11,0,1,"poland","lose"
"83",14658.568353,113897.19,44943.831174,43690.962084,3086.613849,7528.604259,62,153,27,5,0.578150553727386,30,12,1.60872345438024,28,102,22,30,156,6,6,119,341,89,345,316,241,661,21,19,6.18921011005284,17.5060571156214,35.4241966874528,11,0.955236922588076,76,205,123,13.8188671625215,30,30.1981967668904,10.3457520753068,5.30744118735907,7.16521387944671,5.02473664725878,16,219,253,15,264,13,15,0,23.5183253121529,10.9772808515709,11.1197119106115,30,1.08432299320809,14.9631474438798,9,371,24,207,9,253,12,53,173,38,7,72,9,560,2,5,16,0,4,24,494,2,0,0,1,0,1,15,0,1,20,16,1,17,5,7,7,0,4,9,8,0,0,110,5,5,0,1,16,0,2,"saudi","lose"
"84",14436.126164,114754.58,45810.028336,45224.779978,2547.551676,6747.569304,26,84,22,4,0.304177819564501,34,8,0.49847082654804,9,80,14,12,140,2,2,95,184,37,222,206,124,428,7,12,6.56948802478453,9.17106990206307,22.4750109379733,5,9.71628580082792,48,150,56,22.0121539500338,12,23.5789048564601,15.9458822737522,4.23005123724034,2.59760892878421,4.03741510108432,13,162,125,13,164,5,5,0,10.9772808515709,23.5183253121529,34.1144695555467,34,2.70588631238852,6.98256345076856,4,144,25,144,16,129,18,69,329,52,8,46,3,303,1,3,8,1,8,19,236,0,2,0,0,0,3,18,0,0,21,15,0,15,4,18,0,2,3,8,16,0,0,110,2,2,0,0,14,0,3,"poland","win"
"85",14056.549659,111294.93,39799.066968,49270.265511,2070.085698,6098.962164,42,88,12,6,0.352167488988213,29,11,0.643273791135905,20,71,5,22,87,4,9,69,280,58,207,252,185,459,7,4,2.79660554959932,19.9684427037841,23.093178552309,4,5.31543208137274,67,150,97,29.4415874688812,22,12.9892085317404,6.06069144290102,4.41932728825571,3.18729443404627,4.66282640693427,12,194,200,3,187,2,3,0,12.3712089549527,18.2482882984419,24.9459395613382,29,2.0286833281677,9.35109302029765,4,212,21,181,11,141,13,82,326,44,3,42,5,394,0,3,8,2,3,12,326,3,2,0,1,0,1,19,0,0,11,14,1,15,3,12,6,2,2,2,11,0,0,94,5,5,0,0,14,1,4,"ghana","lose"
"86",15409.639749,114740.43,42017.945466,48982.689567,1767.002622,6551.678553,70,149,26,7,0.555235339691684,25,13,0.160604096813277,21,90,20,32,168,2,6,125,395,86,423,339,286,762,24,18,5.51407399058916,16.9649833730079,40.9505551416474,8,1.3001762642874,82,198,114,17.5171170155814,32,25.2039759408334,4.65737493412804,7.57656870755966,8.62190414471274,4.56453748837733,13,237,304,10,308,13,13,0,18.2623763771097,12.3712089549527,11.3803499478741,25,1.71357961876034,12.9779380688062,8,423,19,211,8,307,26,70,286,55,4,61,3,636,3,5,11,2,4,17,573,2,3,0,1,0,1,14,1,1,9,18,1,19,3,6,4,3,4,7,8,0,0,94,5,5,0,0,19,1,2,"portugal","win"
"87",17460.4224,118617,42132.7584,50258.0229,2170.6911,6606.9669,49,98,16,6,0.435833486309188,31,11,0.638797345492303,15,75,9,17,134,2,3,86,279,45,321,293,239,614,8,8,3.57094487833506,17.6511192190119,33.6579232817276,3,5.24849620353022,74,165,80,22.7100356643041,17,18.1121191204023,9.07824672123065,7.00419845605165,8.68809534558259,6.05615999277685,11,202,204,8,241,7,8,0,8.92849081305584,11.7468691450547,15.8638436187982,31,2.06340597574204,7.08771613019728,3,267,14,183,10,208,19,71,357,51,6,41,2,461,2,9,14,5,6,14,392,1,6,0,2,0,3,12,0,0,18,12,1,13,6,7,5,6,7,9,10,0,0,98,5,5,0,1,10,3,0,"portugal","win"
